                       ╭------------------------------------╮
                  Name | Mastiff                            |
                   Qty | 4                                  |
                   _id | 592f6c32c9e7ce9f7215808d           |
                 index | 197                                |
                  name | Mastiff                            |
                  size | Medium                             |
                  type | beast                              |
               subtype |                                    |
             alignment | unaligned                          |
           armor_class | 12                                 |
            hit_points | 5                                  |
              hit_dice | 1d8                                |
                 speed | 40 ft.                             |
              strength | 13                                 |
             dexterity | 14                                 |
          constitution | 12                                 |
          intelligence | 3                                  |
                wisdom | 12                                 |
              charisma | 7                                  |
            perception | 3                                  |
damage_vulnerabilities |                                    |
    damage_resistances |                                    |
     damage_immunities |                                    |
  condition_immunities |                                    |
                senses | passive Perception 13              |
             languages |                                    |
      challenge_rating | 0.125                              |
     special_abilities | [{"attack_bonus"=>0, "desc"=>"The  |
                       | mastiff has advantage on Wisdom (P |
                       | erception) checks that rely on hea |
                       | ring or smell.", "name"=>"Keen Hea |
                       | ring and Smell"}]                  |
               actions | [{"damage_bonus"=>1, "damage_dice" |
                       | =>"1d6", "attack_bonus"=>3, "desc" |
                       | =>"Melee Weapon Attack: +3 to hit, |
                       |  reach 5 ft., one target. Hit: 4 ( |
                       | 1d6 + 1) piercing damage. If the t |
                       | arget is a creature, it must succe |
                       | ed on a DC 11 Strength saving thro |
                       | w or be knocked prone.", "name"=>" |
                       | Bite"}]                            |
                   url | http://www.dnd5eapi.co/api/monster |
                       | s/197                              |
             abilities | STR 13 (+1)                        |
                       | DEX 14 (+2)                        |
                       | CON 12 (+1)                        |
                       | INT 3  (-4)                        |
                       | WIS 12 (+1)                        |
                       | CHA 7  (-2)                        |
                       |                                    |
                    xp | 25                                 |
           action_text | <b>Bite</b>: Melee Weapon Attack:  |
                       | +3 to hit, reach 5 ft., one target |
                       | . Hit: 4 (1d6 + 1) piercing damage |
                       | . If the target is a creature, it  |
                       | must succeed on a DC 11 Strength s |
                       | aving throw or be knocked prone.   |
          special_text | <b>Keen Hearing and Smell</b>: The |
                       |  mastiff has advantage on Wisdom ( |
                       | Perception) checks that rely on he |
                       | aring or smell.                    |
               stealth |                                    |
                       ╰------------------------------------╯
                       ╭------------------------------------╮
                  Name | Mastiff                            |
                   Qty | 4                                  |
                   _id | 592f6c32c9e7ce9f7215808d           |
                 index | 197                                |
                  name | Mastiff                            |
                  size | Medium                             |
                  type | beast                              |
               subtype |                                    |
             alignment | unaligned                          |
           armor_class | 12                                 |
            hit_points | 5                                  |
              hit_dice | 1d8                                |
                 speed | 40 ft.                             |
              strength | 13                                 |
             dexterity | 14                                 |
          constitution | 12                                 |
          intelligence | 3                                  |
                wisdom | 12                                 |
              charisma | 7                                  |
            perception | 3                                  |
damage_vulnerabilities |                                    |
    damage_resistances |                                    |
     damage_immunities |                                    |
  condition_immunities |                                    |
                senses | passive Perception 13              |
             languages |                                    |
      challenge_rating | 0.125                              |
     special_abilities | [{"attack_bonus"=>0, "desc"=>"The  |
                       | mastiff has advantage on Wisdom (P |
                       | erception) checks that rely on hea |
                       | ring or smell.", "name"=>"Keen Hea |
                       | ring and Smell"}]                  |
               actions | [{"damage_bonus"=>1, "damage_dice" |
                       | =>"1d6", "attack_bonus"=>3, "desc" |
                       | =>"Melee Weapon Attack: +3 to hit, |
                       |  reach 5 ft., one target. Hit: 4 ( |
                       | 1d6 + 1) piercing damage. If the t |
                       | arget is a creature, it must succe |
                       | ed on a DC 11 Strength saving thro |
                       | w or be knocked prone.", "name"=>" |
                       | Bite"}]                            |
                   url | http://www.dnd5eapi.co/api/monster |
                       | s/197                              |
             abilities | STR 13 (+1)                        |
                       | DEX 14 (+2)                        |
                       | CON 12 (+1)                        |
                       | INT 3  (-4)                        |
                       | WIS 12 (+1)                        |
                       | CHA 7  (-2)                        |
                       |                                    |
                    xp | 25                                 |
           action_text | <b>Bite</b>: Melee Weapon Attack:  |
                       | +3 to hit, reach 5 ft., one target |
                       | . Hit: 4 (1d6 + 1) piercing damage |
                       | . If the target is a creature, it  |
                       | must succeed on a DC 11 Strength s |
                       | aving throw or be knocked prone.   |
          special_text | <b>Keen Hearing and Smell</b>: The |
                       |  mastiff has advantage on Wisdom ( |
                       | Perception) checks that rely on he |
                       | aring or smell.                    |
               stealth |                                    |
                       ╰------------------------------------╯
                       ╭------------------------------------╮
                  Name | Mastiff                            |
                   Qty | 4                                  |
                   _id | 592f6c32c9e7ce9f7215808d           |
                 index | 197                                |
                  name | Mastiff                            |
                  size | Medium                             |
                  type | beast                              |
               subtype |                                    |
             alignment | unaligned                          |
           armor_class | 12                                 |
            hit_points | 5                                  |
              hit_dice | 1d8                                |
                 speed | 40 ft.                             |
              strength | 13                                 |
             dexterity | 14                                 |
          constitution | 12                                 |
          intelligence | 3                                  |
                wisdom | 12                                 |
              charisma | 7                                  |
            perception | 3                                  |
damage_vulnerabilities |                                    |
    damage_resistances |                                    |
     damage_immunities |                                    |
  condition_immunities |                                    |
                senses | passive Perception 13              |
             languages |                                    |
      challenge_rating | 0.125                              |
     special_abilities | [{"attack_bonus"=>0, "desc"=>"The  |
                       | mastiff has advantage on Wisdom (P |
                       | erception) checks that rely on hea |
                       | ring or smell.", "name"=>"Keen Hea |
                       | ring and Smell"}]                  |
               actions | [{"damage_bonus"=>1, "damage_dice" |
                       | =>"1d6", "attack_bonus"=>3, "desc" |
                       | =>"Melee Weapon Attack: +3 to hit, |
                       |  reach 5 ft., one target. Hit: 4 ( |
                       | 1d6 + 1) piercing damage. If the t |
                       | arget is a creature, it must succe |
                       | ed on a DC 11 Strength saving thro |
                       | w or be knocked prone.", "name"=>" |
                       | Bite"}]                            |
                   url | http://www.dnd5eapi.co/api/monster |
                       | s/197                              |
             abilities | STR 13 (+1)                        |
                       | DEX 14 (+2)                        |
                       | CON 12 (+1)                        |
                       | INT 3  (-4)                        |
                       | WIS 12 (+1)                        |
                       | CHA 7  (-2)                        |
                       |                                    |
                    xp | 25                                 |
